1238	447	1304	484	other
464	486	561	522	other
566	486	682	522	other
688	486	744	522	other
750	486	823	522	other
829	486	966	522	other
971	486	1072	522	other
1077	486	1197	522	other
536	2108	678	2144	other
684	2108	804	2144	other
810	2108	892	2144	other
898	2108	926	2144	other
1534	2167	1552	2200	other
200	145	270	181	company_date
300	145	412	181	company_date
464	145	608	182	company_name
613	145	675	182	company_name
464	242	537	279	other
543	242	623	279	other
449	298	461	329	other
464	294	478	330	other
508	294	585	330	other
591	294	641	330	other
647	294	798	330	other
804	294	838	330	other
843	294	948	330	other
953	294	1066	330	other
463	349	475	380	other
510	345	614	381	other
633	345	695	381	other
713	345	859	381	other
877	345	993	381	other
1012	345	1041	381	other
1059	345	1178	381	other
1197	345	1290	381	other
1308	345	1424	381	other
1442	345	1504	381	other
464	396	589	432	other
595	396	674	432	other
464	447	626	484	other
631	447	704	484	other
710	447	816	484	other
821	447	892	484	other
897	447	995	484	other
1001	447	1077	484	other
1082	447	1174	484	other
1179	447	1232	484	other
1309	447	1447	484	other
546	2064	639	2100	other
265	2108	367	2144	other
372	2108	483	2144	other
488	2108	530	2144	other
760	1781	865	1818	other
871	1781	971	1818	other
977	1781	1047	1818	other
1053	1781	1190	1818	other
1196	1781	1299	1818	other
1305	1781	1388	1818	other
464	1832	530	1869	other
535	1832	674	1869	other
680	1832	908	1869	other
206	2064	287	2100	other
292	2064	328	2100	other
334	2064	426	2100	other
431	2064	494	2100	other
499	2064	541	2100	other
206	2108	259	2144	other
147	1947	337	1983	other
267	567	281	603	company_date
275	145	295	181	company_date
267	1007	281	1043	company_date
464	1054	611	1090	position
464	1535	611	1571	position
1158	1249	1202	1285	other
1205	1249	1317	1285	other
1321	1249	1388	1285	other
464	1300	625	1336	other
464	1351	519	1388	other
528	1351	651	1388	other
660	1351	733	1388	other
742	1351	848	1388	other
857	1351	957	1388	other
966	1351	1037	1388	other
1046	1351	1183	1388	other
1192	1351	1295	1388	other
1305	1351	1388	1388	other
464	1402	530	1438	other
535	1402	674	1438	other
680	1402	908	1438	other
149	1488	261	1524	company_date
286	1488	399	1524	company_date
464	1489	530	1525	company_name
536	1489	598	1525	company_name
464	1581	537	1617	other
543	1581	623	1617	other
463	1632	475	1662	other
510	1628	659	1664	other
675	1628	803	1664	other
819	1628	917	1664	other
933	1628	984	1664	other
1000	1628	1114	1664	other
1130	1628	1164	1664	other
149	145	195	181	company_date
464	192	539	228	position
267	1488	281	1524	company_date
464	613	561	650	position
545	192	649	228	position
567	613	688	650	position
1181	1628	1231	1664	other
1248	1628	1343	1664	other
1359	1628	1388	1664	other
464	1679	598	1715	other
603	1679	647	1715	other
653	1679	785	1715	other
791	1679	886	1715	other
891	1679	918	1715	other
923	1679	967	1715	other
972	1679	1144	1715	other
1150	1679	1261	1715	other
463	1734	475	1765	other
510	1730	663	1766	other
668	1730	788	1766	other
793	1730	909	1766	other
915	1730	943	1766	other
949	1730	993	1766	other
998	1730	1098	1766	other
1104	1730	1203	1766	other
1209	1730	1278	1766	other
1284	1730	1387	1766	other
464	1781	519	1818	other
524	1781	675	1818	other
681	1781	754	1818	other
883	1249	971	1285	other
974	1249	1025	1285	other
1028	1249	1120	1285	other
1124	1249	1154	1285	other
1202	486	1259	522	other
1264	486	1419	522	other
149	567	261	603	company_date
286	567	398	603	company_date
464	567	530	604	company_name
536	567	598	604	company_name
464	665	537	701	other
543	665	623	701	other
463	720	475	751	other
510	716	587	752	other
598	716	632	752	other
645	716	715	752	other
727	716	813	752	other
825	716	931	752	other
943	716	1038	752	other
1050	716	1091	752	other
1103	716	1193	752	other
1205	716	1290	752	other
1302	716	1388	752	other
464	767	584	803	other
589	767	692	803	other
463	823	475	853	other
510	818	587	855	other
592	818	627	855	other
632	818	736	855	other
742	818	847	855	other
853	818	894	855	other
900	818	943	855	other
949	818	1082	855	other
464	870	626	906	other
638	870	712	906	other
725	870	830	906	other
843	870	942	906	other
955	870	1026	906	other
1039	870	1175	906	other
1188	870	1292	906	other
1305	870	1388	906	other
464	921	530	957	other
535	921	666	957	other
149	1007	261	1043	company_date
286	1007	398	1043	company_date
464	1007	656	1044	company_name
661	1007	723	1044	company_name
464	1100	537	1136	other
543	1100	623	1136	other
463	1150	475	1181	other
510	1146	629	1182	other
642	1146	686	1182	other
699	1146	774	1182	other
787	1146	871	1182	other
884	1146	980	1182	other
993	1146	1099	1182	other
1113	1146	1154	1182	other
1167	1146	1204	1182	other
1217	1146	1387	1182	other
464	1197	567	1234	other
572	1197	601	1234	other
607	1197	648	1234	other
654	1197	715	1234	other
463	1253	475	1283	other
510	1249	629	1285	other
633	1249	667	1285	other
671	1249	735	1285	other
738	1249	833	1285	other
837	1249	879	1285	other
